"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8230#discussion_r903835237","An error occurred while loading the YAML build pipeline. Unexpected symbol: 'or'. Located at position 54 within expression: eq(variables['Build.SourceBranch'], 'refs/heads/loc' or startsWith(variables['Build.SourceBranch'], 'refs/heads/loc-'). For more help, refer to https://go.microsoft.com/fwlink/?linkid=842996"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/615#discussion_r605495835","Should this be under Hosting/Fonts ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4630#discussion_r805893107","```suggestion
		void PlatformStop() =>
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3351#discussion_r759559923","should this be #if DEBUG ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8290#discussion_r905954650","This will throw at runtime, but we need to start giving translation to these message. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/414#discussion_r587767305","does it need rebase? this change was in already "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/615#discussion_r605485223","Do we need the Default ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1309#discussion_r654575052","if i $(MicrosoftExtensionsFileProvidersEmbeddedPackageVersion) for non net6 isn't also the order important? i m not a expert of msbuild so not sure tbh"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/779#issuecomment-826929987","@rachelkang  if you check UWP on Xamarin Forms the title is above.. 

![image](https://user-images.githubusercontent.com/1235097/116108877-37760800-a6ac-11eb-8857-65abbc2b1085.png)
"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1618#issuecomment-878216698","Do we want to merge to yaml-templates before taking this ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3351#discussion_r759563421","```suggestion
			var nativeView = view?.GetNative(true);
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1007#discussion_r715573592","@PureWeen  same NRE, this a better fix ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1309#discussion_r653791084","Yes thanks, it's fixed and versions updated now"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4776#discussion_r810296527","@jonathanpeppers  can i just remove all these? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4775#discussion_r809953576","This is done now with a step before like the other stages"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6014#discussion_r849308742","I m not sure. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7335#issuecomment-1164431452","@jsuarezruiz @mattleibow i removed the dispose When the ContentView goes away , the layer should bealso grabbed and dispoed, no need to set to null, right @PureWeen  ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3598#issuecomment-983055255","Still fails for me..

![image](https://user-images.githubusercontent.com/1235097/144134308-e2ef92f4-6622-45d5-b936-69298d69b17a.png)

```
      ""D:\repos\dotnet\maui\Microsoft.Maui.BuildTasks-net6.slnf"" (Build target) (1:2) ->
       ""D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj"" (default target) (6:6) ->
       (GenerateSatelliteAssemblies target) ->
         D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018: The ""AL"" task failed unexp
       ectedly. [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018: System.NullReferenceExceptio
       n: Object reference not set to an instance of an object. [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.Tasks.
       AL.GenerateFullPathToTool() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.Utilit
       ies.ToolTask.ComputePathToTool() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.Utilit
       ies.ToolTask.Execute() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.Tasks.
       AL.Execute() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.BackEn
       d.TaskExecutionHost.Microsoft.Build.BackEnd.ITaskExecutionHost.Execute() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
       D:\Program Files\Microsoft Visual Studio\2022\Main\MSBuild\Current\Bin\Microsoft.Common.CurrentVersion.targets(3870,5): error MSB4018:    at Microsoft.Build.BackEn
       d.TaskBuilder.<ExecuteInstantiatedTask>d__26.MoveNext() [D:\repos\dotnet\maui\src\Controls\src\Build.Tasks\Controls.Build.Tasks-net6.csproj]
```
"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1229#issuecomment-858559188","Ups, i didn't noticed there were reviewers.. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5742#issuecomment-1086216903","This broke a existing api https://github.com/xamarin/xamarin-macios/pull/14526/files#diff-b2ebba39f7a4e5757e3d54413e3111d7c2d2f0ba30baaa72601294010e9cd326R834 "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3205#issuecomment-982886400","@drasticactions  do we still need this? don't think so right? "
